Date,Open,High,Low,Close,Adj Close,Volume
2005-06-09,119.580002,120.440002,119.379997,120.330002,84.991798,391100
2005-06-10,120.400002,120.500000,119.519997,120.139999,84.857590,384400
2005-06-13,119.839996,120.949997,119.739998,120.599998,85.182495,439200
2005-06-14,120.400002,121.029999,120.260002,120.779999,85.309624,485500
2005-06-15,121.050003,121.220001,120.139999,120.980003,85.450912,460200
2005-06-16,120.949997,121.540001,120.849998,121.349998,85.712265,788000
2005-06-17,121.959999,122.250000,121.610001,121.790001,86.023026,654300
2005-06-20,121.559998,122.209999,121.360001,121.849998,86.065407,523500
2005-06-21,121.389999,121.620003,121.089996,121.480003,86.077469,494700
2005-06-22,121.629997,121.839996,121.059998,121.610001,86.169556,652900
2005-06-23,121.309998,121.559998,119.889999,119.940002,84.986237,935200
2005-06-24,119.800003,119.930000,118.860001,119.000000,84.320175,793500
2005-06-27,118.849998,119.370003,118.800003,119.190002,84.454796,684800
2005-06-28,119.480003,120.239998,119.389999,120.239998,85.198784,685600
2005-06-29,120.339996,120.360001,119.820000,119.889999,84.950806,660100
2005-06-30,120.120003,120.320000,119.029999,119.110001,84.398140,857300
2005-07-01,119.500000,119.809998,119.250000,119.529999,84.695717,626200
2005-07-05,119.279999,120.650002,119.220001,120.489998,85.375954,1088100
2005-07-06,120.430000,120.639999,119.430000,119.500000,84.674484,1581200
2005-07-07,118.320000,119.949997,118.300003,119.889999,84.950806,780900
2005-07-08,119.790001,121.330002,119.760002,121.330002,85.971169,434500
2005-07-11,121.339996,122.070000,121.309998,121.930000,86.396294,2241100
2005-07-12,121.919998,122.559998,121.660004,122.230003,86.608902,1045400
2005-07-13,122.279999,122.480003,121.980003,122.480003,86.785995,447000
2005-07-14,122.959999,123.389999,122.500000,122.800003,87.012756,590300
2005-07-15,122.839996,123.010002,122.379997,122.860001,87.055267,1034100
2005-07-18,122.559998,122.620003,122.160004,122.410004,86.736420,340500
2005-07-19,122.709999,123.080002,122.500000,123.029999,87.175781,627100
2005-07-20,122.629997,123.730003,122.309998,123.449997,87.473297,568700
2005-07-21,123.589996,123.629997,122.519997,122.769997,86.991478,802100
2005-07-22,122.809998,123.540001,122.620003,123.540001,87.537117,1751500
2005-07-25,123.540001,123.949997,122.860001,123.239998,87.324524,516600
2005-07-26,123.309998,123.529999,122.959999,123.339996,87.395386,447200
2005-07-27,123.500000,123.870003,123.059998,123.730003,87.671753,684300
2005-07-28,124.019997,124.629997,123.660004,124.570000,88.266960,571800
2005-07-29,124.400002,124.629997,123.510002,123.699997,87.650490,396500
2005-08-01,123.849998,124.040001,123.459999,123.570000,87.558357,503500
2005-08-02,123.849998,124.589996,123.800003,124.400002,88.146500,945000
2005-08-03,124.250000,124.730003,124.160004,124.669998,88.337799,495900
2005-08-04,124.250000,124.309998,123.620003,123.680000,87.636322,844100
2005-08-05,123.480003,123.500000,122.680000,122.849998,87.048172,482300
2005-08-08,123.190002,123.400002,122.410004,122.580002,86.856873,1094000
2005-08-09,123.050003,123.570000,122.910004,123.330002,87.388329,1070300
2005-08-10,123.889999,124.500000,122.849998,123.419998,87.452087,574900
2005-08-11,123.309998,124.019997,123.050003,123.739998,87.678780,937400
2005-08-12,123.580002,123.650002,122.779999,122.970001,87.133247,475200
2005-08-15,123.120003,123.849998,122.849998,123.699997,87.650490,483400
2005-08-16,123.400002,123.500000,122.099998,122.150002,86.552200,458100
2005-08-17,122.239998,122.830002,122.040001,122.300003,86.658478,948700
2005-08-18,121.980003,122.500000,121.839996,122.139999,86.545074,355200
2005-08-19,122.610001,122.800003,122.239998,122.389999,86.722275,470700
2005-08-22,122.550003,123.180000,121.900002,122.430000,86.750587,2192000
2005-08-23,122.500000,122.570000,121.680000,122.199997,86.587616,501800
2005-08-24,121.849998,122.699997,121.129997,121.199997,85.879044,742900
2005-08-25,121.360001,121.650002,121.190002,121.550003,86.127075,1058400
2005-08-26,121.459999,121.470001,120.690002,120.699997,85.524757,546000
2005-08-29,120.440002,121.720001,120.440002,121.699997,86.233337,319700
2005-08-30,121.250000,121.250000,120.370003,120.949997,85.701897,848400
2005-08-31,121.089996,122.500000,120.779999,122.500000,86.800194,1250100
2005-09-01,122.480003,123.139999,121.970001,122.400002,86.729340,895200
2005-09-02,122.690002,122.750000,122.029999,122.029999,86.467163,533700
2005-09-06,122.690002,123.769997,122.680000,123.650002,87.615044,584000
2005-09-07,123.680000,124.080002,123.470001,124.000000,87.863060,399900
2005-09-08,123.680000,123.970001,123.339996,123.550003,87.544212,492300
2005-09-09,123.870003,124.709999,123.820000,124.599998,88.288193,864800
2005-09-12,124.489998,124.639999,124.300003,124.349998,88.111061,438400
2005-09-13,124.250000,124.379997,123.550003,123.720001,87.664650,592900
2005-09-14,123.790001,123.919998,123.040001,123.269997,87.345787,496600
2005-09-15,123.559998,123.639999,122.900002,123.099998,87.225342,953800
2005-09-16,123.769997,124.269997,123.410004,124.000000,87.863060,875200
2005-09-19,123.959999,124.029999,123.180000,123.599998,87.579628,438300
2005-09-20,123.699997,124.110001,122.430000,122.510002,86.807281,417200
2005-09-21,122.379997,122.379997,121.320000,121.510002,86.098732,758200
2005-09-22,121.370003,122.129997,120.980003,122.029999,86.467163,720800
2005-09-23,121.760002,122.339996,121.440002,122.010002,86.453003,842700
2005-09-26,122.139999,122.220001,121.139999,121.559998,86.491394,785200
2005-09-27,121.599998,121.970001,121.050003,121.750000,86.626587,1214500
2005-09-28,121.949997,122.099998,121.250000,121.699997,86.591057,670500
2005-09-29,121.599998,122.889999,121.099998,122.650002,87.266953,1242200
2005-09-30,122.599998,123.000000,122.480003,123.000000,87.515991,664900
2005-10-03,122.959999,123.320000,122.449997,122.500000,87.160217,856900
2005-10-04,122.860001,123.010002,121.239998,121.300003,86.306427,768000
2005-10-05,121.300003,121.300003,119.580002,119.599998,85.096832,1380400
2005-10-06,119.790001,120.220001,118.180000,119.199997,84.812248,1273700
2005-10-07,119.599998,120.000000,119.150002,119.699997,85.167984,1104300
2005-10-10,119.669998,119.690002,118.599998,118.599998,84.385315,619500
2005-10-11,118.949997,119.370003,118.360001,118.550003,84.349770,756200
2005-10-12,118.370003,119.099998,117.430000,117.650002,83.709404,1915200
2005-10-13,117.489998,118.050003,116.879997,117.599998,83.673782,1009900
2005-10-14,118.099998,118.800003,117.610001,118.699997,84.456467,1691300
2005-10-17,118.800003,119.239998,118.480003,119.150002,84.776665,1059400
2005-10-18,118.900002,118.940002,117.800003,117.800003,83.816147,575500
2005-10-19,117.589996,119.800003,117.150002,119.800003,85.239159,1015700
2005-10-20,119.510002,119.779999,117.339996,117.800003,83.816147,1624200
2005-10-21,118.360001,118.760002,117.570000,118.150002,84.065170,750900
2005-10-24,118.629997,120.099998,118.519997,120.099998,85.452576,1074800
2005-10-25,119.750000,120.209999,118.970001,119.750000,85.203583,1155500
2005-10-26,119.480003,120.540001,119.220001,119.410004,84.961678,1238700
2005-10-27,119.250000,119.320000,117.940002,118.150002,84.065170,769900
2005-10-28,118.639999,119.949997,118.199997,119.790001,85.232025,1443300
2005-10-31,120.300003,121.300003,120.300003,120.360001,85.637581,454300
2005-11-01,120.599998,120.910004,120.269997,120.419998,85.680313,659600
2005-11-02,120.220001,121.669998,120.180000,121.599998,86.519844,540200
2005-11-03,122.209999,122.650002,121.779999,122.199997,86.946793,688000
2005-11-04,122.370003,122.430000,121.580002,122.199997,86.946793,797900
2005-11-07,122.419998,122.589996,121.900002,122.239998,86.975250,1106900
2005-11-08,121.980003,122.389999,121.839996,122.269997,86.996552,813900
2005-11-09,122.059998,122.919998,121.849998,122.320000,87.032166,1079900
2005-11-10,122.379997,123.510002,121.760002,123.480003,87.857521,868600
